stock_code,stock_name,entry_date,entry_price,exit_date,exit_price,quantity,pnl,pnl_pct,exit_reason,holding_days
COST,Costco,2020-12-31,356.4999084472656,2021-01-11,344.4172668457031,2,-24.0,-0.0339,ES1 손절 -3%,6
GOOGL,Alphabet,2021-01-08,89.21739959716797,2021-01-12,86.22004699707031,207,-620.0,-0.0336,ES1 손절 -3%,2
LLY,Eli Lilly,2021-01-11,176.1591339111328,2021-01-12,169.39468383789062,107,-724.0,-0.0384,ES1 손절 -3%,1
MA,Mastercard,2020-12-28,334.35089111328125,2021-01-14,317.7283935546875,58,-964.0,-0.0497,ES1 손절 -3%,12
XOM,Exxon Mobil,2021-01-07,36.50295639038086,2021-01-15,38.8818244934082,519,1235.0,0.0652,ES3 트레일링스탑,6
NVDA,NVIDIA,2021-01-08,13.239518165588379,2021-01-15,12.823437690734863,3,-1.0,-0.0314,ES1 손절 -3%,5
UNH,UnitedHealth,2020-12-29,320.16558837890625,2021-01-22,320.3498840332031,9,2.0,0.0006,ES4 데드크로스,16
NVDA,NVIDIA,2021-01-20,13.328268051147461,2021-01-27,12.881525039672852,1428,-638.0,-0.0335,ES1 손절 -3%,5
WMT,Walmart,2021-01-26,45.939720153808594,2021-01-27,44.79676055908203,1,-1.0,-0.0249,ES4 데드크로스,1
ABBV,AbbVie,2021-01-04,86.04740142822266,2021-01-28,86.06275177001953,222,3.0,0.0002,ES4 데드크로스,17
AMZN,Amazon,2021-01-21,165.34950256347656,2021-01-29,160.30999755859375,110,-554.0,-0.0305,ES1 손절 -3%,6
AAPL,Apple,2021-01-22,135.25144958496094,2021-01-29,128.3367156982422,21,-145.0,-0.0511,ES1 손절 -3%,5
JNJ,Johnson & Johnson,2020-12-01,127.24951171875,2021-02-01,140.4188690185547,13,171.0,0.1035,ES5 보유기간 초과,41
NVDA,NVIDIA,2021-02-03,13.49255657196045,2021-02-22,14.315491676330566,1417,1166.0,0.0610,ES3 트레일링스탑,12
META,Meta,2021-02-05,266.240234375,2021-02-22,258.5241394042969,9,-69.0,-0.0290,ES4 데드크로스,10
LLY,Eli Lilly,2021-02-26,194.9229278564453,2021-03-15,179.95814514160156,17,-254.0,-0.0768,ES1 손절 -3%,11
BRK-B,Berkshire Hathaway,2021-02-05,235.16000366210938,2021-03-16,251.5,81,1324.0,0.0695,ES3 트레일링스탑,26
GOOGL,Alphabet,2021-01-19,88.55441284179688,2021-03-18,100.30908203125,213,2504.0,0.1327,ES5 보유기간 초과,41
ABBV,AbbVie,2021-02-22,88.41646575927734,2021-03-18,85.6993637084961,218,-592.0,-0.0307,ES1 손절 -3%,18
NVDA,NVIDIA,2021-03-17,13.308430671691895,2021-03-18,12.691203117370605,61,-38.0,-0.0464,ES1 손절 -3%,1
MSFT,Microsoft,2021-01-21,215.37606811523438,2021-03-22,226.4464569091797,88,974.0,0.0514,ES5 보유기간 초과,41
MA,Mastercard,2021-02-04,331.23712158203125,2021-03-22,348.3125915527344,57,973.0,0.0516,ES3 트레일링스탑,31
AAPL,Apple,2021-03-18,117.39568328857422,2021-03-23,119.35342407226562,164,321.0,0.0167,ES4 데드크로스,3
NVDA,NVIDIA,2021-03-22,13.153810501098633,2021-03-24,12.611895561218262,1478,-801.0,-0.0412,ES1 손절 -3%,2
NVDA,NVIDIA,2021-03-26,12.807663917541504,2021-03-30,12.84008502960205,1519,49.0,0.0025,ES4 데드크로스,2
AMZN,Amazon,2021-03-19,153.7480010986328,2021-03-31,154.70399475097656,125,119.0,0.0062,ES4 데드크로스,8
