month,return
2023-01,0.027595
2023-02,-0.021559
2023-03,0.033502
2023-04,0.023961
2023-05,0.098023
2023-06,0.018930
2023-07,0.016593
2023-08,-0.022499
2023-09,-0.041280
2023-10,-0.029359
2023-11,0.086605
2023-12,0.031909
2024-01,0.066679
2024-02,-0.029733
2024-03,-0.000866
2024-04,-0.030974
2024-05,0.069845
2024-06,0.063298
2024-07,-0.027871
2024-08,0.051852
2024-09,0.015229
2024-10,-0.010905
2024-11,0.047048
2024-12,0.012513
